name,mean_abs_dB0,max_abs_dB0,mean_rel_dB0,dB0_r2,dB0_pears,dB0_std,mean_abs_B1,max_abs_B1,mean_rel_B1,B1_r2,B1_pears,B1_std,mean_abs_T1,max_abs_T1,mean_rel_T1,T1_r2,T1_pears,T1_std,mean_abs_T2,max_abs_T2,mean_rel_T2,T2_r2,T2_pears,T2_std,loss mean,loss std
2x256_ens_sweep12_05_30epochs,0.00412664795294404,1.804213285446167,29.32240104675293,0.9982100901673121,0.9991052385042399,0.019816093146800995,0.008983312174677849,3.6769323348999023,0.3209759593009949,0.9998280586185181,0.9999145162547276,0.02083091181702912,30.139427185058594,3335.2431640625,1.698636770248413,0.9976138213081062,0.9988079762475501,62.44029104709625,969.1025390625,4913.912109375,234.7303924560547,0.1178341063793884,0.34705336221979255,732.4640154838562,-14.288679122924805,nan
2x256_ens_sweep12_06_30epochs,0.004105901811271906,1.8346408605575562,30.986970901489258,0.9980252810812917,0.9990123548950142,0.02086026780307293,0.008648820221424103,3.4529950618743896,0.3115784227848053,0.9998072425997552,0.9999036351178594,0.02240820787847042,30.146482467651367,2963.527587890625,1.6867055892944336,0.9976089661286088,0.9988052187067106,62.51516193151474,992.1151733398438,4545.39892578125,260.9902038574219,0.1195222516111305,0.34895348924668573,698.9611983299255,-14.405485153198242,nan
2x256_ens_sweep12_07_30epochs,0.004392716102302074,1.8180131912231445,31.446393966674805,0.9972165968753469,0.9986074562379996,0.024855973199009895,0.009474260732531548,2.72152042388916,0.34746253490448,0.9997863722146927,0.9998934585982778,0.023444275720976293,31.907367706298828,3823.708984375,1.8037470579147339,0.9974867177000974,0.9987436927940277,63.6015459895134,1018.9735717773438,4540.65576171875,294.1579895019531,0.09410568782314443,0.3106900667315607,690.6867623329163,-14.011198997497559,nan
2x256_ens_sweep12_08_30epochs,0.0041088745929300785,1.761972427368164,28.901430130004883,0.9986833203592335,0.9993418066833619,0.016867199912667274,0.00895470567047596,4.259218215942383,0.31953608989715576,0.9997497045364305,0.9998748869604105,0.025864197523333132,31.254247665405273,2958.279052734375,1.7595393657684326,0.9973923061897749,0.9986959702612273,65.3957948088646,1002.8221435546875,4670.888671875,279.29693603515625,0.10244834744943798,0.3204434590386173,704.0935158729553,-14.192985534667969,nan
2x256_ens_sweep12_09_30epochs,0.004142021294683218,1.8383967876434326,20.172683715820312,0.9986485509094349,0.9993241743241325,0.017093496397137642,0.008788746781647205,4.056614875793457,0.3168307840824127,0.9997649038407955,0.9998824736282843,0.025028170784935355,30.578006744384766,3016.078369140625,1.7270203828811646,0.9976454286346975,0.998823848873433,61.71292066574097,986.5171508789062,4726.77685546875,255.18316650390625,0.1154238973186762,0.34035444855537383,711.6733193397522,-14.337291717529297,nan
2x256_ens_sweep12_10_30epochs,0.004149327985942364,1.8598031997680664,23.900938034057617,0.9980771037662414,0.9990385819110045,0.02056526578962803,0.008755653165280819,3.7437915802001953,0.31481093168258667,0.9998212342978228,0.9999109521846127,0.021410062909126282,30.537403106689453,3174.831787109375,1.7100374698638916,0.9976091666125233,0.9988042432852938,62.321897596120834,983.8466796875,4706.416015625,256.4547119140625,0.12476900529161306,0.3533989467410267,704.3496370315552,-14.340882301330566,nan
2x256_ens_sweep12_11_30epochs,0.004156440496444702,1.7464606761932373,25.798925399780273,0.9984318113478461,0.9992166267613755,0.01848456636071205,0.008722767233848572,2.9393439292907715,0.31378239393234253,0.9998417314655784,0.9999208648034288,0.019940331112593412,30.46756935119629,3227.792236328125,1.7236242294311523,0.9976066719769012,0.9988097860784216,62.39635497331619,976.2418823242188,4770.73681640625,246.8397216796875,0.12613499066708123,0.35523822335869765,713.2528424263,-14.288354873657227,nan
2x256_ens_sweep12_12_30epochs,0.004286488983780146,1.7955886125564575,24.687990188598633,0.997492940370756,0.9987474083164727,0.02356876991689205,0.008714932948350906,2.649566888809204,0.31228816509246826,0.9998360864066095,0.9999180548208422,0.020362937939353287,30.69300651550293,3945.709228515625,1.7871310710906982,0.9974916911592324,0.9987490072465435,64.11830335855484,978.9619140625,4751.57568359375,252.06541442871094,0.1160782034263943,0.34183265565643195,721.2725877761841,-14.269031524658203,nan
2x256_ens_sweep12_13_30epochs,0.00409358087927103,1.852348804473877,26.952421188354492,0.9980683735948563,0.9990338033362118,0.020624935626983643,0.008946665562689304,3.6783361434936523,0.32467958331108093,0.999776950243029,0.9998887022198423,0.02423949830699712,30.51811981201172,3412.790283203125,1.6977988481521606,0.9975615867041083,0.998784998140388,63.0955696105957,993.1270141601562,4893.89697265625,257.7718200683594,0.11547462739437875,0.34040026376047705,702.3596167564392,-14.285581588745117,nan
2x256_ens_sweep12_14_30epochs,0.004427027888596058,2.12656831741333,36.48416519165039,0.9975332231162263,0.9987659323211284,0.023346127942204475,0.00888941902667284,3.964484691619873,0.3180600702762604,0.999791767692209,0.9998961472349428,0.02332863165065646,30.696481704711914,3086.234619140625,1.6976091861724854,0.9975470829388995,0.9987766187914262,63.240423798561096,971.1815185546875,4872.5947265625,244.0619659423828,0.12620972141710318,0.3560867165169494,720.0410962104797,-14.318096160888672,nan
2x256_ens_sweep12_15_30epochs,0.00409031892195344,1.792311429977417,23.737611770629883,0.9983761293814458,0.9991877986374034,0.018840648233890533,0.008735851384699345,3.163400888442993,0.3132999539375305,0.9998074410895988,0.9999038172192309,0.022361143492162228,30.46904182434082,2927.40673828125,1.6991453170776367,0.9975622241806976,0.9987809134603968,63.109107315540314,983.9892578125,4766.72900390625,253.48463439941406,0.12206725061456136,0.3494274979544447,707.3523998260498,-14.366211891174316,nan
2x256_ens_sweep12_16_30epochs,0.0041452511213719845,1.85133695602417,27.885072708129883,0.9981967062944979,0.9990988088844073,0.01988937333226204,0.008647523820400238,3.6455655097961426,0.3105599284172058,0.9997947265860867,0.9998973880811378,0.023229531361721456,30.40703582763672,4259.87841796875,1.7093658447265625,0.9975732162904957,0.9987886177298009,62.963396310806274,986.8046264648438,4729.890625,256.547607421875,0.12109778674090932,0.3480977475427986,704.5711278915405,-14.352240562438965,nan
2x256_ens_sweep12_17_30epochs,0.004172843880951405,2.0314407348632812,33.58615493774414,0.9979317496799353,0.9989653563417896,0.02135428972542286,0.008777298033237457,3.321843385696411,0.31344205141067505,0.9998066971983179,0.9999034887000133,0.022394671104848385,30.727184295654297,3637.50146484375,1.6983393430709839,0.9975598063982014,0.9987809250595231,63.02247941493988,980.6216430664062,4706.78955078125,248.2832489013672,0.12083731777600548,0.34779918846000946,713.4569883346558,-14.320642471313477,nan
2x256_ens_sweep12_18_30epochs,0.004304605536162853,2.0510811805725098,22.279340744018555,0.9973212727073214,0.9986607916973804,0.02438494749367237,0.008725469931960106,3.6581509113311768,0.3138749301433563,0.9997852622896629,0.9998928078793443,0.02380302466917783,30.72945785522461,3259.42333984375,1.711036205291748,0.9975565111497742,0.9987775898154582,63.0740150809288,986.2784423828125,4728.08642578125,256.3352355957031,0.12441065003291085,0.3530139726003018,701.367974281311,-14.351850509643555,nan
2x256_ens_sweep12_19_30epochs,0.004073064774274826,1.8442165851593018,32.39796829223633,0.9979820627942515,0.9989908126749556,0.021102415397763252,0.008762337267398834,3.468334674835205,0.3143557608127594,0.9998307994045407,0.9999156295824136,0.0207278790185228,30.55790138244629,3113.9169921875,1.6740646362304688,0.9975888083022427,0.9987952881382102,62.64008581638336,977.0948486328125,4707.29052734375,246.98486328125,0.12980608889868328,0.3603583847302176,707.7587842941284,-14.37584400177002,nan
